carrier,origin_destination,code,description,tail_num,origin,destination,id,dep_time,distance,aircraft_engine_code,site_number
UA,SFO,100443,100443,N521UA,ORD,SFO,100443,0657,1846,831,14771
UA,SFO,100444,100444,N553UA,ORD,SFO,100444,0707,1846,831,14771
UA,SFO,100445,100445,N590UA,ORD,SFO,100445,0702,1846,831,14771
UA,SFO,100446,100446,N589UA,ORD,SFO,100446,0721,1846,831,14771
UA,SFO,100447,100447,N545UA,ORD,SFO,100447,0703,1846,831,14771
UA,SFO,100448,100448,,ORD,SFO,100448,,1846,831,14771
UA,SFO,100449,100449,N854UA,ORD,SFO,100449,0717,1846,831,14771
UA,SFO,100450,100450,N598UA,ORD,SFO,100450,0824,1846,831,14771
UA,SFO,100451,100451,N595UA,ORD,SFO,100451,0705,1846,831,14771
UA,SFO,100452,100452,N535UA,ORD,SFO,100452,0707,1846,831,14771
UA,SFO,100453,100453,N598UA,ORD,SFO,100453,0710,1846,831,14771
UA,SFO,100454,100454,N589UA,ORD,SFO,100454,0706,1846,831,14771
UA,SFO,100455,100455,N551UA,ORD,SFO,100455,0700,1846,831,14771
UA,SFO,100456,100456,N828UA,ORD,SFO,100456,0655,1846,831,14771
UA,SFO,100457,100457,,ORD,SFO,100457,,1846,831,14771
UA,SFO,100458,100458,N539UA,ORD,SFO,100458,0704,1846,831,14771
UA,SFO,100459,100459,N550UA,ORD,SFO,100459,0657,1846,831,14771
UA,SFO,100460,100460,,ORD,SFO,100460,,1846,831,14771
UA,SFO,100461,100461,N543UA,ORD,SFO,100461,0710,1846,831,14771
NW,DTW,1005,1005,N915RW,ORD,DTW,1005,1009,235,1242,11433
UA,LGA,100520,100520,N522UA,ORD,LGA,100520,1852,733,836,12953
UA,LGA,100521,100521,N594UA,ORD,LGA,100521,1834,733,836,12953
UA,LGA,100522,100522,N563UA,ORD,LGA,100522,1802,733,836,12953
UA,LGA,100523,100523,N576UA,ORD,LGA,100523,1826,733,836,12953
UA,LGA,100524,100524,N571UA,ORD,LGA,100524,1856,733,836,12953
UA,LGA,100525,100525,N312UA,ORD,LGA,100525,1858,733,836,12953
UA,LGA,100526,100526,N514UA,ORD,LGA,100526,1932,733,836,12953
UA,LGA,100527,100527,,ORD,LGA,100527,,733,836,12953
UA,LGA,100528,100528,N539UA,ORD,LGA,100528,1804,733,836,12953
UA,LGA,100529,100529,N504UA,ORD,LGA,100529,1806,733,836,12953
UA,LGA,100530,100530,N515UA,ORD,LGA,100530,1940,733,836,12953
UA,LGA,100531,100531,N935UA,ORD,LGA,100531,1757,733,836,12953
UA,LGA,100532,100532,,ORD,LGA,100532,,733,836,12953
UA,LGA,100533,100533,N515UA,ORD,LGA,100533,1854,733,836,12953
UA,LGA,100534,100534,N540UA,ORD,LGA,100534,1819,733,836,12953
UA,LGA,100535,100535,N594UA,ORD,LGA,100535,1805,733,836,12953
UA,LGA,100536,100536,N590UA,ORD,LGA,100536,2124,733,836,12953
UA,LGA,100537,100537,N513UA,ORD,LGA,100537,1820,733,836,12953
UA,LGA,100538,100538,N904UA,ORD,LGA,100538,1800,733,836,12953
UA,LGA,100539,100539,N578UA,ORD,LGA,100539,1810,733,836,12953
UA,LGA,100540,100540,N588UA,ORD,LGA,100540,1924,733,836,12953
UA,LGA,100541,100541,N531UA,ORD,LGA,100541,1858,733,836,12953
UA,LGA,100542,100542,N533UA,ORD,LGA,100542,2122,733,836,12953
UA,LGA,100543,100543,N541UA,ORD,LGA,100543,1805,733,836,12953
UA,LGA,100544,100544,N572UA,ORD,LGA,100544,1804,733,836,12953
UA,LGA,100545,100545,N346UA,ORD,LGA,100545,1808,733,836,12953
UA,LGA,100546,100546,N513UA,ORD,LGA,100546,1759,733,836,12953
UA,LGA,100547,100547,N521UA,ORD,LGA,100547,1952,733,836,12953
UA,LGA,100548,100548,N570UA,ORD,LGA,100548,1830,733,836,12953
UA,LGA,100549,100549,N524UA,ORD,LGA,100549,1829,733,836,12953
UA,LGA,100550,100550,N519UA,ORD,LGA,100550,2025,733,836,12953
NW,DTW,1006,1006,N3324L,ORD,DTW,1006,1009,235,1242,11433
UA,SFO,100644,100644,N667UA,ORD,SFO,100644,0829,1846,842,14771
UA,SFO,100645,100645,N677UA,ORD,SFO,100645,0816,1846,842,14771
UA,SFO,100646,100646,N666UA,ORD,SFO,100646,0810,1846,842,14771
UA,SFO,100647,100647,N665UA,ORD,SFO,100647,0809,1846,842,14771
UA,SFO,100648,100648,N507UA,ORD,SFO,100648,0825,1846,842,14771
UA,SFO,100649,100649,N529UA,ORD,SFO,100649,0822,1846,842,14771
UA,SFO,100650,100650,N210UA,ORD,SFO,100650,0810,1846,842,14771
UA,SFO,100651,100651,N210UA,ORD,SFO,100651,0810,1846,842,14771
UA,SFO,100652,100652,,ORD,SFO,100652,,1846,842,14771
UA,SFO,100653,100653,N671UA,ORD,SFO,100653,0814,1846,842,14771
UA,SFO,100654,100654,N673UA,ORD,SFO,100654,0816,1846,842,14771
UA,SFO,100655,100655,N419UA,ORD,SFO,100655,0818,1846,842,14771
UA,SFO,100656,100656,N415UA,ORD,SFO,100656,0810,1846,842,14771
UA,SFO,100657,100657,N211UA,ORD,SFO,100657,0810,1846,842,14771
UA,SFO,100658,100658,N670UA,ORD,SFO,100658,0812,1846,842,14771
UA,SFO,100659,100659,N666UA,ORD,SFO,100659,0810,1846,842,14771
UA,SFO,100660,100660,N670UA,ORD,SFO,100660,0830,1846,842,14771
UA,SFO,100661,100661,N670UA,ORD,SFO,100661,0821,1846,842,14771
UA,SFO,100662,100662,N410UA,ORD,SFO,100662,0832,1846,842,14771
UA,SFO,100663,100663,N418UA,ORD,SFO,100663,0847,1846,842,14771
UA,SFO,100664,100664,N212UA,ORD,SFO,100664,0812,1846,842,14771
