code,description,site_number,airport_remark_id
15096,Syracuse,15096,15096
15177,Telluride,15177,15177
15304,Tampa,15304,15304
15323,"Bristol/Johnson City/Kingsport",15323,15323
15370,Tulsa,15370,15370
15376,Tucson,15376,15376
15380,"Traverse City",15380,15380
15389,"Twin Falls",15389,15389
15412,Knoxville,15412,15412
15624,Valparaiso,15624,15624
15919,Fayetteville,15919,15919
16101,Yakima,16101,16101
16218,Yuma,16218,16218
